#{"t_start": 1778612803.2316177, "env_id": "None"}
r,l,t
606.161753,1478,97.948843
933.252143,1799,222.797611
929.172181,1605,339.624104
754.277283,1130,428.751754
270.73842,270,460.074133
-24.360001,1,462.204569
275.837034,297,495.617306
-24.41,1,497.746793
311.765872,316,532.857321
439.315325,455,583.56399
-24.449724,1,585.694245
-24.559725,1,587.829638
-24.509724,1,589.963595
350.650974,281,622.102242
-22.360001,1,624.187305
652.334146,529,682.235317
1165.956325,909,780.927964
-24.509861,1,783.058511
1386.156844,1000,890.199493
1340.725588,1000,999.026898
890.467813,699,1076.075901
1318.150099,1000,1185.196046
1374.048285,1000,1292.2679
326.599438,394,1335.818094
1070.492442,1000,1439.759599
998.188106,969,1539.96377
1065.767341,1000,1638.541971
152.467084,159,1655.52617
1073.839856,1000,1751.305041
0.807857,28,1755.996885
1055.275816,1000,1851.869852
968.220741,953,1944.237055
361.284407,350,1979.852066
968.534085,940,2068.125592
256.354548,257,2094.736202
470.980429,463,2139.541925
-24.360001,1,2141.6757
802.069182,845,2215.944417
1.251825,36,2219.533921
0.986764,35,2222.95991
-0.273247,35,2226.605672
0.606743,35,2230.118324
